Item Fat Content,Item Identifier,Item Type,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Rating,Outlet_Age,Item_Visibility_Log,Sales_Log
Regular,FDX32,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.1,5.0,12,-2.3024501021057255,4.986879342701793
Low Fat,NCB42,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.8,5.0,2,-4.756452367227384,4.756596013918903
Regular,FDR28,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.85,5.0,8,-3.653648033772376,5.112114286379427
Regular,FDL50,Canned,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.15,5.0,10,-3.1634915686377654,4.8481524423790425
Low Fat,DRI25,Soft Drinks,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.6,5.0,9,-3.38227175646698,4.028229688181768
Low Fat,FDS52,Frozen Foods,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.89,5.0,4,-5.202011137510944,4.638620435842424
Low Fat,NCU05,Health and Hygiene,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.8,5.0,13,-2.3196049017240394,4.412335155805972
Low Fat,NCD30,Household,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.7,5.0,9,-3.6154909349902047,4.575459152159907
Low Fat,FDW20,Fruits and Vegetables,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,5.0,10,-3.724327083110071,4.8296967804570485
Low Fat,FDX25,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,16.7,5.0,6,-2.2870900831155705,5.209099192736114
Low Fat,FDX21,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,7.05,5.0,6,-2.470358166067444,4.708549540441426
Low Fat,NCU41,Health and Hygiene,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.85,5.0,7,-2.9556470111542104,5.263646208456468
Low Fat,FDL20,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.1,5.0,2,-2.0484262394844563,4.730820857139734
Low Fat,NCR54,Household,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.35,5.0,10,-2.4025509858305694,5.279190610799217
Low Fat,FDH19,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,19.35,5.0,6,-3.4134246307273224,5.160053651269943
Regular,FDB57,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,5.0,7,-3.97381601892338,5.4079660747518
Low Fat,FDO23,Breads,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.85,5.0,2,-1.9171605692916085,4.551174295507048
Low Fat,NCB07,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,5.0,12,-2.5558264093891814,5.2913481377912275
Low Fat,FDJ56,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,8.985,5.0,6,-1.7009235695577463,4.602867536925416
Low Fat,DRN47,Hard Drinks,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,5.0,2,-4.080720216557265,5.190542828369942
Regular,FDZ07,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,15.1,5.0,6,-20.72326583694641,4.11446413275052
Low Fat,NCK31,Others,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,10.895,5.0,6,-3.6150048749085153,3.950601204521161
Low Fat,FDJ41,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,5.0,2,-3.7732834550828667,5.570858135832467
Low Fat,DRI51,Dairy,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,5.0,2,-3.1602837614173627,5.160068578776802
Regular,FDC40,Dairy,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16.0,5.0,4,-2.726745112042749,4.346381322151268
Low Fat,FDB53,Frozen Foods,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.35,5.0,4,-1.9643913889484925,5.018862689402818
Low Fat,FDA16,Frozen Foods,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,6.695,5.0,7,-3.383291375344416,5.4069277955120665
Regular,FDO19,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,17.7,5.0,6,-4.103409020576205,3.8795700591891995
Low Fat,FDO04,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.6,5.0,8,-3.6292075306764016,4.064939781451974
Regular,FDL25,Breakfast,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,6.92,5.0,12,-2.0315777721957704,4.545212091992628
